time,open,high,low,close,tick_volume
2026-03-11 02:00:00,1.16265,1.16288,1.16183,1.16256,1746
2026-03-11 03:00:00,1.16257,1.16313,1.16246,1.163,1339
2026-03-11 04:00:00,1.163,1.16348,1.16277,1.16334,1149
2026-03-11 05:00:00,1.16334,1.16356,1.1629800000000001,1.16326,1545
2026-03-11 06:00:00,1.16328,1.16405,1.16293,1.16331,2048
2026-03-11 07:00:00,1.16328,1.16451,1.1613,1.16166,4954
2026-03-11 08:00:00,1.1616900000000001,1.1621,1.16031,1.16123,3808
2026-03-11 09:00:00,1.1612,1.16135,1.1589800000000001,1.15918,4907
2026-03-11 10:00:00,1.15918,1.16112,1.15907,1.16068,3185
2026-03-11 11:00:00,1.16065,1.16105,1.15942,1.15942,4029
2026-03-11 12:00:00,1.1594,1.16053,1.15771,1.15819,5871
2026-03-11 13:00:00,1.15821,1.1593,1.15773,1.15914,5132
2026-03-11 14:00:00,1.15911,1.16124,1.15806,1.15817,10055
2026-03-11 15:00:00,1.15818,1.15839,1.15652,1.15659,3881
2026-03-11 16:00:00,1.15659,1.15762,1.15627,1.15707,3506
2026-03-11 17:00:00,1.15709,1.1576,1.15604,1.15707,3842
2026-03-11 18:00:00,1.15707,1.1574,1.15639,1.15712,2447
2026-03-11 19:00:00,1.15713,1.15758,1.15678,1.1573,1467
2026-03-11 20:00:00,1.15729,1.15735,1.15639,1.15641,889
2026-03-11 21:00:00,1.15641,1.15704,1.15641,1.15704,495
2026-03-11 22:00:00,1.15732,1.15737,1.15491,1.155,1419
2026-03-11 23:00:00,1.1549800000000001,1.15534,1.15396,1.15426,1705
2026-03-12 00:00:00,1.15424,1.15497,1.15337,1.15452,2210
2026-03-12 01:00:00,1.15454,1.15551,1.15449,1.15503,1957
2026-03-12 02:00:00,1.15503,1.15539,1.15319,1.15385,1878
2026-03-12 03:00:00,1.15383,1.15399,1.15328,1.15381,1394
2026-03-12 04:00:00,1.15381,1.15397,1.15314,1.15328,1042
2026-03-12 05:00:00,1.15328,1.15448,1.15323,1.15393,2255
2026-03-12 06:00:00,1.15393,1.1551,1.15388,1.15475,2198
2026-03-12 07:00:00,1.15477,1.15524,1.15412,1.1550799999999999,2516
2026-03-12 08:00:00,1.1551,1.15556,1.15428,1.15469,2640
2026-03-12 09:00:00,1.15471,1.15609,1.15441,1.15592,2196
2026-03-12 10:00:00,1.1559,1.15626,1.1549,1.15574,2404
2026-03-12 11:00:00,1.15572,1.15658,1.15521,1.1556,2621
2026-03-12 12:00:00,1.1555900000000001,1.15571,1.15323,1.15387,3313
2026-03-12 13:00:00,1.15388,1.15499,1.15197,1.15258,5987
2026-03-12 14:00:00,1.15261,1.15327,1.15151,1.15202,5749
2026-03-12 15:00:00,1.15201,1.1528100000000001,1.15104,1.15217,6240
2026-03-12 16:00:00,1.15216,1.15322,1.15134,1.15216,4843
2026-03-12 17:00:00,1.15216,1.15314,1.1519,1.15215,3503
2026-03-12 18:00:00,1.15216,1.15239,1.15109,1.15118,2276
2026-03-12 19:00:00,1.15116,1.15181,1.15103,1.15146,2102
2026-03-12 20:00:00,1.15145,1.1516,1.15079,1.15096,1131
2026-03-12 21:00:00,1.15099,1.15119,1.15078,1.15118,364
2026-03-12 22:00:00,1.15119,1.1521,1.15106,1.15188,1173
2026-03-12 23:00:00,1.15188,1.15229,1.15146,1.15204,1117
2026-03-13 00:00:00,1.1520299999999999,1.1528,1.15199,1.15232,1815
2026-03-13 01:00:00,1.1522999999999999,1.15292,1.15141,1.15161,1588
2026-03-13 02:00:00,1.15162,1.15217,1.15109,1.15133,1487
2026-03-13 03:00:00,1.15131,1.15155,1.15045,1.15087,1323
2026-03-13 04:00:00,1.15085,1.15091,1.14995,1.15027,1130
