,open,high,low,close,tick_volume,EMA_Fast,EMA_Slow,Signal,SL,TP
2026-03-31 23:16:00,1.1561,1.15627,1.1561,1.15627,21.0,1.1560303857966652,1.1559214731221326,0,,
2026-03-31 23:17:00,1.15626,1.15627,1.15618,1.15624,19.0,1.1560723086373321,1.1559504301110295,0,,
2026-03-31 23:18:00,1.15625,1.15629,1.15619,1.1562,19.0,1.1560978469098657,1.155973118282754,0,,
2026-03-31 23:19:00,1.15618,1.15627,1.15618,1.15625,18.0,1.1561282775278927,1.1559982893479581,0,,
2026-03-31 23:20:00,1.15625,1.15627,1.15622,1.15624,16.0,1.1561506220223143,1.1560202630435983,0,,
2026-03-31 23:21:00,1.15624,1.1563,1.15624,1.15629,14.0,1.1561784976178515,1.1560447845850892,0,,
2026-03-31 23:22:00,1.15629,1.15635,1.15627,1.15627,18.0,1.1561967980942813,1.1560652587137172,0,,
2026-03-31 23:23:00,1.15627,1.15633,1.15625,1.15632,15.0,1.1562214384754252,1.1560884170124703,0,,
2026-03-31 23:24:00,1.15632,1.15646,1.15628,1.15643,26.0,1.1562631507803403,1.1561194700113366,0,,
2026-03-31 23:25:00,1.15644,1.15668,1.15641,1.15666,30.0,1.1563425206242723,1.156168609101215,0,,
2026-03-31 23:26:00,1.15667,1.1567,1.15663,1.1567,13.0,1.1564140164994179,1.156216917364741,0,,
2026-03-31 23:27:00,1.15671,1.15676,1.15663,1.15663,25.0,1.1564572131995345,1.1562544703315827,0,,
2026-03-31 23:28:00,1.15663,1.15668,1.15662,1.15663,16.0,1.1564917705596276,1.156288609392348,0,,
2026-03-31 23:29:00,1.15663,1.15664,1.15659,1.1566,14.0,1.1565134164477022,1.1563169176294072,0,,
2026-03-31 23:30:00,1.15658,1.15658,1.15652,1.15656,18.0,1.1565227331581618,1.156339016026734,0,,
2026-03-31 23:31:00,1.15656,1.15659,1.1565,1.1565,17.0,1.1565181865265295,1.1563536509333945,0,,
2026-03-31 23:32:00,1.1565,1.15655,1.15645,1.15648,21.0,1.1565105492212235,1.1563651372121766,0,,
2026-03-31 23:33:00,1.15648,1.15659,1.15647,1.15659,22.0,1.1565264393769787,1.156385579283797,0,,
2026-03-31 23:34:00,1.1566,1.15669,1.15656,1.15666,19.0,1.156553151501583,1.1564105266216336,0,,
2026-03-31 23:35:00,1.15666,1.15666,1.1565,1.15652,17.0,1.1565465212012664,1.1564204787469397,0,,
2026-03-31 23:36:00,1.15653,1.15661,1.1565,1.15659,22.0,1.1565552169610132,1.1564358897699452,0,,
2026-03-31 23:37:00,1.15659,1.15659,1.15649,1.15649,14.0,1.1565421735688106,1.1564408088817684,0,,
2026-03-31 23:38:00,1.15649,1.15656,1.15649,1.15653,17.0,1.1565397388550487,1.1564489171652441,0,,
2026-03-31 23:39:00,1.15653,1.15663,1.15653,1.1566,15.0,1.156551791084039,1.1564626519684038,0,,
2026-03-31 23:40:00,1.1566,1.15663,1.15654,1.15654,18.0,1.1565494328672312,1.1564696836076398,0,,
