,open,high,low,close,tick_volume
2026-04-01 00:14:00,1.1573,1.15736,1.15728,1.15733,23.0
2026-04-01 00:15:00,1.15734,1.1577600000000001,1.15732,1.15772,63.0
2026-04-01 00:16:00,1.15769,1.15779,1.15767,1.15768,48.0
2026-04-01 00:17:00,1.15768,1.15779,1.15766,1.1577600000000001,30.0
2026-04-01 00:18:00,1.15777,1.15784,1.1577,1.1577,43.0
2026-04-01 00:19:00,1.15768,1.1578,1.15766,1.15766,30.0
2026-04-01 00:20:00,1.15767,1.15775,1.15765,1.15768,35.0
2026-04-01 00:21:00,1.15768,1.15768,1.15761,1.15765,17.0
2026-04-01 00:22:00,1.15765,1.15765,1.15749,1.15763,53.0
2026-04-01 00:23:00,1.15762,1.15769,1.15759,1.15764,28.0
2026-04-01 00:24:00,1.15765,1.15767,1.15757,1.15759,29.0
2026-04-01 00:25:00,1.15759,1.15761,1.1575,1.15755,32.0
2026-04-01 00:26:00,1.15755,1.15755,1.15746,1.15751,30.0
2026-04-01 00:27:00,1.15751,1.15751,1.1574,1.15745,33.0
2026-04-01 00:28:00,1.15745,1.15754,1.15745,1.15754,27.0
2026-04-01 00:29:00,1.15754,1.15765,1.15753,1.15763,23.0
2026-04-01 00:30:00,1.15765,1.15772,1.15764,1.15766,23.0
2026-04-01 00:31:00,1.15766,1.15769,1.15759,1.15759,18.0
2026-04-01 00:32:00,1.15758,1.15762,1.1575199999999999,1.15756,32.0
2026-04-01 00:33:00,1.15757,1.1576,1.1575199999999999,1.1576,30.0
2026-04-01 00:34:00,1.1576,1.15763,1.15758,1.15759,18.0
2026-04-01 00:35:00,1.15759,1.15762,1.1575199999999999,1.15762,24.0
2026-04-01 00:36:00,1.15762,1.15762,1.15745,1.15745,39.0
2026-04-01 00:37:00,1.15745,1.1575199999999999,1.15741,1.15749,31.0
2026-04-01 00:38:00,1.15749,1.15751,1.15747,1.15748,11.0
2026-04-01 00:39:00,1.15748,1.15764,1.15748,1.15763,20.0
2026-04-01 00:40:00,1.15763,1.15771,1.15756,1.15771,21.0
2026-04-01 00:41:00,1.15772,1.15772,1.15763,1.15764,14.0
2026-04-01 00:42:00,1.15764,1.15765,1.1576,1.15763,11.0
2026-04-01 00:43:00,1.15765,1.1577,1.15759,1.1576,12.0
2026-04-01 00:44:00,1.1576,1.15765,1.15758,1.15759,27.0
2026-04-01 00:45:00,1.15759,1.15762,1.15741,1.15748,40.0
2026-04-01 00:46:00,1.15748,1.1575,1.15734,1.15734,26.0
2026-04-01 00:47:00,1.15734,1.15745,1.1573,1.15743,32.0
2026-04-01 00:48:00,1.1574200000000001,1.15743,1.15734,1.15734,36.0
2026-04-01 00:49:00,1.15733,1.15736,1.15721,1.15721,25.0
2026-04-01 00:50:00,1.15722,1.15736,1.15722,1.1573,25.0
2026-04-01 00:51:00,1.1573,1.1574200000000001,1.15724,1.15729,40.0
2026-04-01 00:52:00,1.15729,1.15729,1.15711,1.15711,41.0
2026-04-01 00:53:00,1.15711,1.15721,1.15708,1.15716,28.0
2026-04-01 00:54:00,1.1571500000000001,1.15744,1.1571,1.15739,81.0
2026-04-01 00:55:00,1.1574200000000001,1.1575199999999999,1.15729,1.15731,35.0
2026-04-01 00:56:00,1.1573,1.15731,1.15722,1.15723,16.0
2026-04-01 00:57:00,1.15721,1.15732,1.15719,1.1573,35.0
2026-04-01 00:58:00,1.15731,1.1575,1.15726,1.15746,37.0
2026-04-01 00:59:00,1.15745,1.15749,1.15739,1.1574,42.0
2026-04-01 01:00:00,1.1574,1.15755,1.15698,1.15713,139.0
2026-04-01 01:01:00,1.1571,1.1571,1.15662,1.15674,120.0
2026-04-01 01:02:00,1.15673,1.15684,1.1567,1.15673,69.0
2026-04-01 01:03:00,1.15674,1.15676,1.15633,1.15635,74.0
2026-04-01 01:04:00,1.15634,1.15638,1.1562000000000001,1.15621,73.0
2026-04-01 01:05:00,1.15621,1.15627,1.1559300000000001,1.15599,68.0
2026-04-01 01:06:00,1.15599,1.15601,1.15566,1.15588,101.0
2026-04-01 01:07:00,1.1559,1.15621,1.15588,1.15605,91.0
2026-04-01 01:08:00,1.15605,1.15619,1.1559300000000001,1.15614,72.0
2026-04-01 01:09:00,1.15616,1.15631,1.15616,1.15627,67.0
2026-04-01 01:10:00,1.15624,1.15641,1.15615,1.15641,44.0
2026-04-01 01:11:00,1.15641,1.15646,1.1562999999999999,1.15637,49.0
2026-04-01 01:12:00,1.15637,1.15638,1.15625,1.15634,47.0
2026-04-01 01:13:00,1.15636,1.1565,1.15628,1.15645,53.0
2026-04-01 01:14:00,1.15646,1.15653,1.1564,1.15653,29.0
2026-04-01 01:15:00,1.15651,1.15651,1.15622,1.15622,64.0
2026-04-01 01:16:00,1.15624,1.15635,1.15616,1.15617,63.0
2026-04-01 01:17:00,1.15617,1.15632,1.15611,1.15617,58.0
2026-04-01 01:18:00,1.15617,1.15628,1.15611,1.15613,39.0
2026-04-01 01:19:00,1.15613,1.15625,1.15608,1.15611,52.0
2026-04-01 01:20:00,1.15612,1.15632,1.156,1.15601,77.0
2026-04-01 01:21:00,1.15601,1.15601,1.15575,1.15577,51.0
2026-04-01 01:22:00,1.15579,1.1559300000000001,1.15579,1.15583,51.0
2026-04-01 01:23:00,1.15583,1.15591,1.1558,1.15588,41.0
2026-04-01 01:24:00,1.15588,1.1559300000000001,1.15583,1.15583,33.0
2026-04-01 01:25:00,1.15586,1.15602,1.15584,1.15602,55.0
2026-04-01 01:26:00,1.15602,1.15618,1.156,1.15611,36.0
2026-04-01 01:27:00,1.1561,1.15625,1.1561,1.15622,40.0
2026-04-01 01:28:00,1.15622,1.15628,1.15613,1.15628,38.0
2026-04-01 01:29:00,1.15628,1.15636,1.15624,1.15632,39.0
2026-04-01 01:30:00,1.1562999999999999,1.15651,1.1562999999999999,1.15639,62.0
2026-04-01 01:31:00,1.15639,1.15646,1.15626,1.15628,48.0
2026-04-01 01:32:00,1.15629,1.1562999999999999,1.15606,1.15606,44.0
2026-04-01 01:33:00,1.15607,1.15621,1.15605,1.1562000000000001,52.0
2026-04-01 01:34:00,1.1562000000000001,1.1562000000000001,1.15599,1.15601,40.0
2026-04-01 01:35:00,1.15603,1.15607,1.15587,1.15589,59.0
2026-04-01 01:36:00,1.15591,1.15595,1.15565,1.15567,51.0
2026-04-01 01:37:00,1.15567,1.15583,1.15566,1.15568,51.0
2026-04-01 01:38:00,1.15568,1.15572,1.15562,1.15566,34.0
2026-04-01 01:39:00,1.15565,1.15578,1.15565,1.15571,37.0
2026-04-01 01:40:00,1.15571,1.15572,1.15558,1.1555900000000001,35.0
2026-04-01 01:41:00,1.1556,1.15561,1.15551,1.15551,26.0
2026-04-01 01:42:00,1.15553,1.15566,1.15553,1.1555900000000001,29.0
2026-04-01 01:43:00,1.1556,1.15567,1.1555900000000001,1.15562,31.0
2026-04-01 01:44:00,1.15562,1.15567,1.15556,1.15565,39.0
2026-04-01 01:45:00,1.15565,1.15567,1.15546,1.15552,49.0
2026-04-01 01:46:00,1.15552,1.15567,1.15552,1.15567,35.0
2026-04-01 01:47:00,1.15566,1.15584,1.15565,1.1558,29.0
2026-04-01 01:48:00,1.15579,1.15582,1.15573,1.15582,32.0
2026-04-01 01:49:00,1.15582,1.15582,1.15567,1.15567,29.0
2026-04-01 01:50:00,1.1556899999999999,1.15572,1.15562,1.15571,28.0
2026-04-01 01:51:00,1.15572,1.15572,1.15566,1.15568,22.0
2026-04-01 01:52:00,1.15568,1.15592,1.15568,1.15592,33.0
2026-04-01 01:53:00,1.15592,1.15609,1.15592,1.156,37.0
2026-04-01 01:54:00,1.156,1.15606,1.1559599999999999,1.15605,26.0
