,open,high,low,close,tick_volume
2026-03-30 23:57:00,4509.782,4511.923,4507.659,4508.989,233.0
2026-03-30 23:58:00,4509.155,4510.181,4509.155,4510.044,105.0
2026-03-30 23:59:00,4509.924,4513.852,4509.899,4513.571,118.0
2026-03-31 00:00:00,4513.54,4517.051,4510.67,4516.484,431.0
2026-03-31 00:01:00,4516.51,4519.746,4511.868,4518.825,478.0
2026-03-31 00:02:00,4518.888,4527.877,4518.255,4525.79,648.0
2026-03-31 00:03:00,4525.856,4528.175,4521.109,4523.139,455.0
2026-03-31 00:04:00,4523.022,4528.254,4522.303,4528.193,346.0
2026-03-31 00:05:00,4528.029,4528.196,4521.93,4523.661,422.0
2026-03-31 00:06:00,4523.721,4526.234,4523.643,4524.777,321.0
2026-03-31 00:07:00,4524.833,4526.719,4523.274,4525.707,270.0
2026-03-31 00:08:00,4525.601,4525.747,4521.766,4521.912,280.0
2026-03-31 00:09:00,4521.95,4522.008,4519.61,4519.627,221.0
2026-03-31 00:10:00,4519.561,4523.11,4519.561,4521.784,309.0
2026-03-31 00:11:00,4521.825,4523.061,4517.931,4519.559,294.0
2026-03-31 00:12:00,4519.619,4520.157,4517.831,4518.293,340.0
2026-03-31 00:13:00,4518.304,4518.775,4516.918,4518.065,176.0
2026-03-31 00:14:00,4518.126,4519.481,4513.827,4516.187,335.0
2026-03-31 00:15:00,4516.333,4518.263,4508.475,4510.376,480.0
2026-03-31 00:16:00,4510.403,4511.534,4499.689,4502.731,739.0
2026-03-31 00:17:00,4502.925,4503.885,4496.278,4501.985,662.0
2026-03-31 00:18:00,4501.825,4503.418,4499.903,4500.165,336.0
2026-03-31 00:19:00,4500.277,4500.401,4495.211,4496.465,523.0
2026-03-31 00:20:00,4496.491,4498.102,4483.839,4491.737,814.0
2026-03-31 00:21:00,4491.828,4491.925,4487.476,4489.464,393.0
2026-03-31 00:22:00,4489.406,4490.09,4484.065,4485.783,511.0
2026-03-31 00:23:00,4485.706,4489.778,4482.562,4485.469,595.0
2026-03-31 00:24:00,4485.53,4494.793,4485.53,4493.577,602.0
2026-03-31 00:25:00,4493.632,4499.257,4489.744,4499.122,536.0
2026-03-31 00:26:00,4499.129,4505.812,4499.112,4503.862,547.0
2026-03-31 00:27:00,4503.794,4511.48,4501.674,4510.071,604.0
2026-03-31 00:28:00,4509.995,4513.432,4505.388,4512.029,695.0
2026-03-31 00:29:00,4511.97,4512.888,4509.569,4512.06,369.0
2026-03-31 00:30:00,4512.179,4512.956,4509.546,4510.661,383.0
2026-03-31 00:31:00,4510.678,4512.815,4509.216,4509.401,204.0
2026-03-31 00:32:00,4509.45,4509.59,4506.401,4509.396,262.0
2026-03-31 00:33:00,4509.623,4512.654,4507.518,4512.45,336.0
2026-03-31 00:34:00,4512.5,4515.956,4510.251,4511.271,328.0
2026-03-31 00:35:00,4511.374,4518.457,4511.321,4517.263,441.0
2026-03-31 00:36:00,4517.213,4523.38,4517.184,4523.005,445.0
2026-03-31 00:37:00,4523.025,4526.818,4518.984,4519.155,638.0
2026-03-31 00:38:00,4519.096,4530.931,4519.005,4529.924,737.0
2026-03-31 00:39:00,4530.027,4531.669,4525.717,4530.107,1048.0
2026-03-31 00:40:00,4530.019,4531.212,4527.372,4527.436,597.0
2026-03-31 00:41:00,4527.318,4529.144,4524.981,4527.022,634.0
2026-03-31 00:42:00,4526.968,4529.792,4526.968,4527.916,483.0
2026-03-31 00:43:00,4527.837,4531.368,4527.783,4530.861,421.0
2026-03-31 00:44:00,4530.792,4537.407,4528.824,4536.044,713.0
2026-03-31 00:45:00,4536.121,4543.862,4535.683,4542.174,990.0
2026-03-31 00:46:00,4542.116,4544.746,4537.172,4542.665,892.0
2026-03-31 00:47:00,4542.606,4543.523,4540.251,4542.132,736.0
2026-03-31 00:48:00,4542.084,4546.888,4535.425,4535.653,788.0
2026-03-31 00:49:00,4535.823,4539.942,4535.632,4538.244,681.0
2026-03-31 00:50:00,4538.182,4539.863,4535.516,4535.971,615.0
2026-03-31 00:51:00,4536.266,4539.336,4536.083,4536.867,568.0
2026-03-31 00:52:00,4536.926,4539.938,4536.252,4536.315,491.0
2026-03-31 00:53:00,4536.251,4542.492,4535.351,4540.999,513.0
2026-03-31 00:54:00,4540.886,4542.672,4539.602,4542.22,518.0
2026-03-31 00:55:00,4542.296,4544.508,4541.255,4541.742,427.0
2026-03-31 00:56:00,4541.67,4544.269,4540.093,4543.667,546.0
2026-03-31 00:57:00,4543.508,4547.793,4539.591,4540.339,608.0
2026-03-31 00:58:00,4540.283,4545.663,4540.015,4543.036,495.0
2026-03-31 00:59:00,4542.965,4548.206,4542.762,4547.821,697.0
2026-03-31 01:00:00,4547.882,4550.503,4543.076,4549.104,1309.0
2026-03-31 01:01:00,4549.043,4550.749,4547.485,4549.691,659.0
2026-03-31 01:02:00,4549.632,4550.842,4547.583,4548.86,449.0
2026-03-31 01:03:00,4548.803,4549.337,4544.51,4544.51,507.0
2026-03-31 01:04:00,4544.528,4544.909,4540.448,4541.15,716.0
2026-03-31 01:05:00,4541.258,4541.662,4537.848,4540.114,548.0
2026-03-31 01:06:00,4540.192,4540.505,4536.859,4538.691,460.0
2026-03-31 01:07:00,4538.448,4539.049,4534.055,4536.127,465.0
2026-03-31 01:08:00,4536.07,4536.147,4531.96,4534.521,419.0
2026-03-31 01:09:00,4534.465,4540.314,4533.787,4538.967,516.0
2026-03-31 01:10:00,4538.911,4541.976,4537.505,4541.018,421.0
2026-03-31 01:11:00,4541.074,4541.274,4533.784,4534.712,465.0
2026-03-31 01:12:00,4534.656,4540.31,4533.275,4539.302,540.0
2026-03-31 01:13:00,4539.385,4539.955,4537.623,4539.492,421.0
2026-03-31 01:14:00,4539.408,4545.22,4539.181,4543.857,445.0
2026-03-31 01:15:00,4543.985,4548.885,4543.256,4545.599,519.0
2026-03-31 01:16:00,4545.531,4547.961,4543.609,4546.956,335.0
2026-03-31 01:17:00,4546.895,4548.921,4546.135,4548.13,380.0
2026-03-31 01:18:00,4548.117,4560.16,4548.117,4559.732,501.0
2026-03-31 01:19:00,4559.789,4570.446,4558.432,4568.889,647.0
2026-03-31 01:20:00,4568.833,4570.491,4564.982,4567.389,731.0
2026-03-31 01:21:00,4567.353,4574.333,4567.251,4573.534,783.0
2026-03-31 01:22:00,4573.493,4573.909,4570.568,4573.563,481.0
2026-03-31 01:23:00,4573.501,4578.064,4570.108,4576.644,555.0
2026-03-31 01:24:00,4576.679,4585.766,4576.627,4584.938,729.0
2026-03-31 01:25:00,4585.264,4585.768,4580.745,4580.745,649.0
2026-03-31 01:26:00,4580.653,4585.391,4579.374,4584.156,576.0
2026-03-31 01:27:00,4584.215,4584.513,4576.708,4577.855,585.0
